DATE,ACTLISCOUUS
2016-07-01,1468901.0
2016-08-01,1460379.0
2016-09-01,1443406.0
2016-10-01,1407922.0
2016-11-01,1339982.0
2016-12-01,1236254.0
2017-01-01,1154376.0
2017-02-01,1151378.0
2017-03-01,1173003.0
2017-04-01,1195050.0
2017-05-01,1250223.0
2017-06-01,1288825.0
2017-07-01,1319573.0
2017-08-01,1322567.0
2017-09-01,1306264.0
2017-10-01,1285100.0
2017-11-01,1226264.0
2017-12-01,1126400.0
2018-01-01,1042660.0
2018-02-01,1043239.0
2018-03-01,1064458.0
2018-04-01,1098955.0
2018-05-01,1153539.0
2018-06-01,1213228.0
2018-07-01,1258870.0
2018-08-01,1282717.0
2018-09-01,1299321.0
2018-10-01,1302526.0
2018-11-01,1271268.0
2018-12-01,1184620.0
2019-01-01,1109503.0
2019-02-01,1101132.0
2019-03-01,1113890.0
2019-04-01,1134769.0
2019-05-01,1179023.0
2019-06-01,1218107.0
2019-07-01,1238631.0
2019-08-01,1234730.0
2019-09-01,1224693.0
2019-10-01,1208438.0
2019-11-01,1143960.0
2019-12-01,1035099.0
2020-01-01,953042.0
2020-02-01,928919.0
2020-03-01,937347.0
2020-04-01,941948.0
2020-05-01,928322.0
2020-06-01,870636.0
2020-07-01,821659.0
2020-08-01,778340.0
2020-09-01,748174.0
2020-10-01,733244.0
2020-11-01,683606.0
2020-12-01,612794.0
2021-01-01,532603.0
2021-02-01,465341.0
2021-03-01,440770.0
2021-04-01,435218.0
2021-05-01,446744.0
2021-06-01,491111.0
2021-07-01,545080.0
2021-08-01,572950.0
2021-09-01,576867.0
2021-10-01,564790.0
2021-11-01,511899.0
2021-12-01,445784.0
2022-01-01,378189.0
2022-02-01,347476.0
2022-03-01,354890.0
2022-04-01,380611.0
2022-05-01,479606.0
2022-06-01,573704.0
2022-07-01,691923.0
2022-08-01,727199.0
2022-09-01,732277.0
2022-10-01,753845.0
2022-11-01,751544.0
