DATE,MORTGAGE30US
1987-01-01,9.2
1987-02-01,9.08
1987-03-01,9.04
1987-04-01,9.83
1987-05-01,10.6
1987-06-01,10.54
1987-07-01,10.28
1987-08-01,10.33
1987-09-01,10.89
1987-10-01,11.26
1987-11-01,10.65
1987-12-01,10.65
1988-01-01,10.43
1988-02-01,9.89
1988-03-01,9.93
1988-04-01,10.2
1988-05-01,10.46
1988-06-01,10.46
1988-07-01,10.43
1988-08-01,10.6
1988-09-01,10.48
1988-10-01,10.3
1988-11-01,10.27
1988-12-01,10.61
1989-01-01,10.73
1989-02-01,10.65
1989-03-01,11.03
1989-04-01,11.05
1989-05-01,10.77
1989-06-01,10.2
1989-07-01,9.88
1989-08-01,9.99
1989-09-01,10.13
1989-10-01,9.95
1989-11-01,9.77
1989-12-01,9.74
1990-01-01,9.9
1990-02-01,10.2
1990-03-01,10.27
1990-04-01,10.37
1990-05-01,10.48
1990-06-01,10.16
1990-07-01,10.04
1990-08-01,10.1
1990-09-01,10.18
1990-10-01,10.18
1990-11-01,10.01
1990-12-01,9.67
1991-01-01,9.64
1991-02-01,9.37
1991-03-01,9.5
1991-04-01,9.49
1991-05-01,9.47
1991-06-01,9.62
1991-07-01,9.58
1991-08-01,9.24
1991-09-01,9.01
1991-10-01,8.86
1991-11-01,8.71
1991-12-01,8.5
1992-01-01,8.43
1992-02-01,8.76
1992-03-01,8.94
1992-04-01,8.85
1992-05-01,8.67
1992-06-01,8.51
1992-07-01,8.13
1992-08-01,7.98
1992-09-01,7.92
1992-10-01,8.09
1992-11-01,8.31
1992-12-01,8.22
1993-01-01,8.02
1993-02-01,7.68
1993-03-01,7.5
1993-04-01,7.47
1993-05-01,7.47
1993-06-01,7.42
1993-07-01,7.21
1993-08-01,7.11
1993-09-01,6.92
1993-10-01,6.83
1993-11-01,7.16
1993-12-01,7.17
1994-01-01,7.06
1994-02-01,7.15
1994-03-01,7.68
1994-04-01,8.32
1994-05-01,8.6
1994-06-01,8.4
1994-07-01,8.61
1994-08-01,8.51
1994-09-01,8.64
1994-10-01,8.93
1994-11-01,9.17
1994-12-01,9.2
1995-01-01,9.15
1995-02-01,8.83
1995-03-01,8.46
1995-04-01,8.32
1995-05-01,7.96
1995-06-01,7.57
1995-07-01,7.61
1995-08-01,7.86
1995-09-01,7.64
1995-10-01,7.48
1995-11-01,7.38
1995-12-01,7.2
1996-01-01,7.03
1996-02-01,7.08
1996-03-01,7.62
1996-04-01,7.93
1996-05-01,8.07
1996-06-01,8.32
1996-07-01,8.25
1996-08-01,8
1996-09-01,8.23
1996-10-01,7.92
1996-11-01,7.62
1996-12-01,7.6
1997-01-01,7.82
1997-02-01,7.65
1997-03-01,7.9
1997-04-01,8.14
1997-05-01,7.94
1997-06-01,7.69
1997-07-01,7.5
1997-08-01,7.48
1997-09-01,7.43
