DATE,CSUSHPISA,HOUST,POPTHM,HSN1F,MSACSR,A229RX0,UNRATE,final_data,LFWA64TTUSM647S
1987-01-01,63.964,1774.0,241857.0,709,6.0,25467.0,6.6,63.964,153896.03140811
1987-02-01,64.423,1784.0,242005.0,732,6.2,25587.0,6.6,64.423,154094.745883803
1987-03-01,64.735,1726.0,242166.0,713,6.0,25602.0,6.6,64.735,154164.47498173802
1987-04-01,65.132,1614.0,242338.0,735,6.0,24623.0,6.3,65.132,154361.287723739
1987-05-01,65.564,1628.0,242516.0,651,6.7,25603.0,6.3,65.564,154502.17742264198
1987-06-01,66.072,1594.0,242706.0,637,6.9,25549.0,6.2,66.072,154617.531964375
1987-07-01,66.508,1575.0,242908.0,658,6.7,25598.0,6.1,66.508,154699.93868572402
1987-08-01,66.938,1605.0,243118.0,657,6.8,25684.0,6.0,66.938,154803.263656801
1987-09-01,67.33,1695.0,243335.0,666,6.8,25661.0,5.9,67.33,154936.58048366802
1987-10-01,67.737,1515.0,243543.0,650,6.8,25804.0,6.0,67.737,155022.663532774
1987-11-01,68.107,1656.0,243724.0,625,7.0,25885.0,5.8,68.107,155193.27483100301
1987-12-01,68.505,1400.0,243895.0,595,7.6,26099.0,5.7,68.505,155284.060214638
1988-01-01,68.858,1271.0,244056.0,585,7.5,26137.0,5.7,68.858,155405.989324714
1988-02-01,69.263,1473.0,244205.0,663,6.6,26273.0,5.7,69.263,155544.87620487
1988-03-01,69.638,1532.0,244362.0,669,6.6,26363.0,5.7,69.638,155609.750373265
1988-04-01,69.976,1573.0,244528.0,699,6.4,26436.0,5.4,69.976,155661.636426232
1988-05-01,70.426,1421.0,244708.0,684,6.6,26454.0,5.6,70.426,155806.17851042098
1988-06-01,70.889,1478.0,244914.0,717,6.2,26529.0,5.4,70.889,155996.04449216402
1988-07-01,71.355,1467.0,245131.0,679,6.6,26616.0,5.4,71.355,156091.603932241
1988-08-01,71.8,1493.0,245352.0,688,6.6,26667.0,5.6,71.8,156152.991843042
1988-09-01,72.241,1492.0,245579.0,703,6.5,26694.0,5.4,72.241,156281.838298413
1988-10-01,72.63600000000002,1522.0,245789.0,718,6.0,26813.0,5.4,72.63600000000002,156364.864243021
1988-11-01,73.07300000000002,1569.0,245970.0,628,7.2,26802.0,5.3,73.07300000000002,156458.23273051198
1988-12-01,73.464,1563.0,246140.0,658,6.8,26916.0,5.3,73.464,156556.138717438
1989-01-01,73.946,1621.0,246301.0,719,6.2,27013.0,5.4,73.946,156742.88249599902
1989-02-01,74.382,1425.0,246454.0,622,7.5,27077.0,5.2,74.382,156876.120874927
1989-03-01,74.778,1422.0,246626.0,567,8.2,27194.0,5.0,74.778,156973.56439200402
1989-04-01,75.085,1339.0,246814.0,608,7.4,27034.0,5.2,75.085,156903.160966861
1989-05-01,75.307,1331.0,247010.0,656,7.1,26888.0,5.2,75.307,156981.510984496
1989-06-01,75.48,1397.0,247228.0,642,7.2,26941.0,5.3,75.48,157082.966791305
1989-07-01,75.658,1427.0,247458.0,731,6.1,27010.0,5.2,75.658,157147.122892205
1989-08-01,75.835,1332.0,247695.0,697,6.4,27056.0,5.2,75.835,157271.156405445
1989-09-01,76.056,1279.0,247942.0,639,7.1,27110.0,5.3,76.056,157512.382001125
1989-10-01,76.283,1410.0,248174.0,645,6.9,27218.0,5.3,76.283,157556.545055631
1989-11-01,76.52199999999998,1351.0,248380.0,684,6.6,27221.0,5.4,76.52199999999998,157682.23802093198
1989-12-01,76.705,1251.0,248569.0,630,7.0,27201.0,5.4,76.705,157825.578261075
1990-01-01,76.89699999999998,1551.0,248743.0,620,7.0,27341.0,5.4,76.89699999999998,159330.280973326
1990-02-01,77.053,1437.0,248920.0,591,7.6,27379.0,5.3,77.053,159505.204171997
1990-03-01,77.20100000000002,1289.0,249146.0,574,7.8,27361.0,5.2,77.20100000000002,159563.31483269
1990-04-01,77.277,1248.0,249436.0,542,8.3,27505.0,5.4,77.277,159631.12007397698
1990-05-01,77.296,1212.0,249707.0,534,8.2,27442.0,5.4,77.296,159654.455372183
1990-06-01,77.258,1177.0,249990.0,545,7.9,27450.0,5.2,77.258,159778.241229716
1990-07-01,77.138,1171.0,250285.0,542,7.8,27513.0,5.5,77.138,159814.842582159
1990-08-01,77.009,1115.0,250595.0,528,8.2,27306.0,5.7,77.009,159972.241649916
1990-09-01,76.85,1110.0,250904.0,496,8.4,27259.0,5.9,76.85,160245.245822894
1990-10-01,76.699,1014.0,251201.0,465,8.7,27004.0,5.9,76.699,160333.997010991
1990-11-01,76.37100000000002,1145.0,251486.0,493,8.2,26980.0,6.2,76.37100000000002,160564.272656538
1990-12-01,76.184,969.0,251758.0,464,8.5,27106.0,6.3,76.184,160714.832336299
1991-01-01,75.916,798.0,252012.0,401,9.4,27001.0,6.4,75.916,160510.12970757802
1991-02-01,75.735,965.0,252253.0,482,7.9,27013.0,6.6,75.735,160617.107770457
1991-03-01,75.57,921.0,252507.0,507,7.3,27029.0,6.8,75.57,160835.33482669402
1991-04-01,75.565,1001.0,252778.0,508,7.3,27105.0,6.7,75.565,160861.17995005302
1991-05-01,75.765,996.0,253060.0,517,7.0,27080.0,6.9,75.765,161035.730682304
1991-06-01,75.993,1036.0,253350.0,516,7.0,27190.0,6.9,75.993,161129.156307439
1991-07-01,76.083,1063.0,253650.0,511,7.1,27105.0,6.8,76.083,161179.794658231
1991-08-01,76.109,1049.0,253966.0,526,6.8,27135.0,6.9,76.109,161394.21552288698
1991-09-01,76.194,1015.0,254280.0,487,7.4,27177.0,6.9,76.194,161638.41041192302
1991-10-01,76.075,1079.0,254576.0,524,6.7,27187.0,7.0,76.075,161725.800969646
1991-11-01,76.015,1103.0,254841.0,575,6.2,27202.0,7.0,76.015,161890.451985603
1991-12-01,76.056,1079.0,255089.0,558,6.2,27425.0,7.3,76.056,162028.838406295
1992-01-01,76.086,1176.0,255331.0,676,5.2,27671.0,7.3,76.086,161723.457526025
1992-02-01,76.155,1250.0,255576.0,639,4.9,27772.0,7.4,76.155,161889.743822828
1992-03-01,76.27600000000002,1297.0,255848.0,553,6.1,27772.0,7.4,76.27600000000002,162085.70884685198
1992-04-01,76.346,1099.0,256139.0,546,6.1,27824.0,7.4,76.346,162325.167455739
1992-05-01,76.399,1214.0,256437.0,554,6.0,27925.0,7.6,76.399,162461.216505023
1992-06-01,76.332,1145.0,256742.0,596,5.6,28012.0,7.8,76.332,162381.503776884
1992-07-01,76.264,1139.0,257063.0,627,5.3,27958.0,7.7,76.264,162478.23285956698
1992-08-01,76.23,1226.0,257390.0,636,5.2,28023.0,7.6,76.23,162846.242093703
1992-09-01,76.23899999999998,1186.0,257704.0,650,5.0,27860.0,7.6,76.23899999999998,163128.311178323
1992-10-01,76.376,1244.0,258004.0,621,5.1,27649.0,7.3,76.376,163254.561354287
1992-11-01,76.559,1214.0,258280.0,614,5.4,27662.0,7.4,76.559,163365.451740224
1992-12-01,76.675,1227.0,258546.0,650,5.0,28618.0,7.4,76.675,163497.230858865
1993-01-01,76.78399999999998,1210.0,258799.0,596,5.4,27966.0,7.3,76.78399999999998,163316.34977176
1993-02-01,76.837,1210.0,259036.0,604,5.3,28073.0,7.1,76.837,163490.575243855
1993-03-01,76.868,1083.0,259283.0,602,5.4,27959.0,7.0,76.868,163627.124419357
1993-04-01,76.937,1258.0,259547.0,701,4.7,28075.0,7.1,76.937,163894.714671422
1993-05-01,77.038,1260.0,259822.0,626,5.3,28005.0,7.1,77.038,164036.226704817
1993-06-01,77.243,1280.0,260109.0,653,5.2,27923.0,7.0,77.243,164029.592974625
1993-07-01,77.429,1254.0,260411.0,655,5.3,27961.0,6.9,77.429,164175.605630634
1993-08-01,77.613,1300.0,260717.0,645,5.5,27968.0,6.8,77.613,164415.76782422198
1993-09-01,77.795,1343.0,261015.0,726,4.9,27860.0,6.7,77.795,164620.953068412
1993-10-01,77.942,1392.0,261294.0,704,5.0,27694.0,6.8,77.942,164809.534675978
1993-11-01,78.149,1376.0,261550.0,769,4.8,27744.0,6.6,78.149,164888.53028253198
1993-12-01,78.32600000000002,1533.0,261796.0,812,4.5,28662.0,6.5,78.32600000000002,165047.713526675
1994-01-01,78.592,1272.0,262021.0,619,5.9,28101.0,6.6,78.592,165009.785398158
1994-02-01,78.72800000000002,1337.0,262237.0,686,5.0,28132.0,6.6,78.72800000000002,165177.944623127
1994-03-01,78.85600000000002,1564.0,262491.0,747,4.8,28198.0,6.5,78.85600000000002,165355.819482396
1994-04-01,78.987,1465.0,262754.0,692,5.2,28171.0,6.4,78.987,165488.106239624
1994-05-01,79.222,1526.0,263014.0,691,5.3,28468.0,6.1,79.222,165610.79552959802
1994-06-01,79.423,1409.0,263294.0,621,6.2,28392.0,6.1,79.423,165727.552429471
1994-07-01,79.596,1439.0,263580.0,628,6.3,28385.0,6.1,79.596,165858.182647982
1994-08-01,79.782,1450.0,263871.0,656,6.1,28387.0,6.0,79.782,165943.97864871
1994-09-01,79.92,1474.0,264159.0,677,6.0,28480.0,5.9,79.92,166126.161810467
1994-10-01,80.065,1450.0,264430.0,715,5.6,28721.0,5.8,80.065,166301.300046165
1994-11-01,80.15,1511.0,264681.0,646,6.3,28693.0,5.6,80.15,166368.621445185
1994-12-01,80.297,1455.0,264924.0,629,6.6,28797.0,5.5,80.297,166567.736478418
1995-01-01,80.42699999999998,1407.0,265157.0,626,6.8,28865.0,5.6,80.42699999999998,166504.74943101598
1995-02-01,80.529,1316.0,265383.0,559,7.3,28898.0,5.4,80.529,166652.796420532
1995-03-01,80.6,1249.0,265625.0,616,6.8,28952.0,5.4,80.6,166738.62048729
1995-04-01,80.661,1267.0,265877.0,621,6.7,28711.0,5.8,80.661,166922.201602714
1995-05-01,80.703,1314.0,266134.0,674,6.3,28974.0,5.6,80.703,166943.746103002
1995-06-01,80.786,1281.0,266414.0,725,5.8,29030.0,5.6,80.786,167045.60175032
1995-07-01,80.938,1461.0,266700.0,765,5.6,29064.0,5.7,80.938,167167.835744226
1995-08-01,81.111,1416.0,266998.0,701,6.1,29051.0,5.7,81.111,167316.509414094
1995-09-01,81.307,1369.0,267304.0,678,6.3,29113.0,5.6,81.307,167460.312376704
1995-10-01,81.483,1369.0,267585.0,696,6.3,29115.0,5.5,81.483,167599.978118436
1995-11-01,81.62,1452.0,267829.0,664,6.8,29169.0,5.6,81.62,167665.182692575
1995-12-01,81.737,1431.0,268047.0,709,6.4,29185.0,5.6,81.737,167867.76011863
1996-01-01,81.835,1467.0,268258.0,714,6.4,29202.0,5.6,81.835,167866.42676054
1996-02-01,81.954,1491.0,268480.0,769,5.3,29404.0,5.5,81.954,168067.002472783
1996-03-01,82.195,1424.0,268724.0,721,6.2,29472.0,5.5,82.195,168260.56537010698
1996-04-01,82.421,1516.0,268980.0,736,6.0,29267.0,5.6,82.421,168547.963029389
1996-05-01,82.611,1504.0,269247.0,746,5.9,29609.0,5.6,82.611,168675.730139168
1996-06-01,82.75299999999999,1467.0,269527.0,721,6.0,29757.0,5.3,82.75299999999999,168832.193826768
1996-07-01,82.929,1472.0,269822.0,770,5.7,29647.0,5.5,82.929,168909.54498836
1996-08-01,83.087,1557.0,270130.0,826,5.0,29689.0,5.1,83.087,169072.007623359
1996-09-01,83.257,1475.0,270433.0,770,5.2,29725.0,5.2,83.257,169248.992479951
1996-10-01,83.37799999999999,1392.0,270730.0,720,5.6,29691.0,5.2,83.37799999999999,169382.16416969802
1996-11-01,83.553,1489.0,271002.0,771,5.2,29742.0,5.4,83.553,169539.092872595
1996-12-01,83.72200000000002,1370.0,271243.0,805,5.0,29817.0,5.4,83.72200000000002,169739.114129985
1997-01-01,83.956,1355.0,271472.0,830,4.7,29877.0,5.3,83.956,170275.95898976902
1997-02-01,84.181,1486.0,271703.0,801,4.5,29935.0,5.2,84.181,170444.9627046
1997-03-01,84.45299999999997,1457.0,271952.0,831,4.1,30050.0,5.2,84.45299999999997,170698.224745967
